X,Y,Z
190635.0,7404271.0,545.793997568
190679.0,7404361.0,545.159355721
190712.0,7404454.0,544.68040292
190711.0,7404552.0,544.624203128
190660.0,7404638.0,544.457218428
190627.0,7404730.0,544.100185174
190618.0,7404830.0,543.374549403
190609.0,7404929.0,542.808062566
190534.0,7404992.0,542.739796929
190454.0,7405052.0,542.726548013
190409.0,7405141.0,542.702433771
190408.0,7405228.0,542.045516564
190479.0,7405298.0,541.46103669
190550.0,7405368.0,541.428115602
190614.0,7405443.0,540.554740748
190594.0,7405512.0,540.512334572
190498.0,7405538.0,540.712364614
190405.0,7405573.0,540.850202857
190318.0,7405621.0,540.830044753
190268.0,7405708.0,541.214070569
190218.0,7405794.0,541.599905835
190168.0,7405881.0,541.853876741
190156.0,7405971.0,541.66234161
190196.0,7406063.0,541.659363856
190279.0,7406112.0,541.673298963
190372.0,7406148.0,541.241213161
190463.0,7406146.0,540.718898982
190549.0,7406094.0,540.362825403
190639.0,7406057.0,539.980124649
190718.0,7406104.0,539.724697913
190787.0,7406177.0,539.46687259
190858.0,7406247.0,539.083320418
190929.0,7406317.0,538.74410142
191000.0,7406388.0,538.535340512
191055.0,7406470.0,538.202547283
191097.0,7406560.0,538.09436199
191139.0,7406651.0,537.705071132
191206.0,7406724.0,537.325069831
191278.0,7406793.0,537.091483011
191350.0,7406863.0,536.930101226
191409.0,7406944.0,536.784226415
191454.0,7407030.0,536.322729093
191470.0,7407129.0,535.92020477
191486.0,7407228.0,535.827886474
191501.0,7407327.0,535.559361246
191512.0,7407425.0,535.345385413
191494.0,7407524.0,535.228264108
191461.0,7407612.0,535.129163066
191381.0,7407672.0,535.383116434
191293.0,7407717.0,536.223848913
191197.0,7407742.0,535.932326087
191099.0,7407753.0,535.884175698
191001.0,7407736.0,535.747291391
190914.0,7407698.0,536.333675844
190853.0,7407620.0,536.439758781
190836.0,7407521.0,537.218540972
190820.0,7407423.0,538.008639199
190804.0,7407324.0,538.899298291
190788.0,7407225.0,539.714769938
190714.0,7407160.0,539.782959588
190633.0,7407102.0,540.652266799
190546.0,7407146.0,540.962531062
190462.0,7407185.0,540.654697378
190400.0,7407106.0,541.602276346
190325.0,7407040.0,542.683993872
190240.0,7407001.0,543.814442971
190140.0,7407010.0,544.968070747
190052.0,7407043.0,546.542713661
189989.0,7407121.0,547.170117667
189966.0,7407205.0,547.642568398
190019.0,7407290.0,547.147864182
190054.0,7407382.0,545.002882356
190078.0,7407479.0,543.486935121
190137.0,7407559.0,541.845503967
190212.0,7407621.0,540.45740079
190305.0,7407657.0,539.053566712
190398.0,7407694.0,537.723665054
190491.0,7407730.0,536.780519053
190557.0,7407786.0,535.709294443
190563.0,7407886.0,534.949895047
190498.0,7407957.0,534.611614925
190398.0,7407962.0,535.184527568
190298.0,7407967.0,536.230044662
190205.0,7407932.0,537.276534824
190111.0,7407904.0,538.260107632
190011.0,7407914.0,538.889993795
189912.0,7407923.0,539.162718483
189812.0,7407932.0,538.731102064
189712.0,7407926.0,538.835208923
189613.0,7407919.0,538.816867194
189553.0,7407858.0,539.64149809
189569.0,7407762.0,541.274647463
189595.0,7407665.0,543.078581863
189602.0,7407569.0,544.145270022
189561.0,7407478.0,543.917705402
189468.0,7407442.0,543.542541705
189374.0,7407416.0,544.819431311
189288.0,7407467.0,543.380176504
189210.0,7407525.0,542.702752179
189193.0,7407624.0,541.739125071
189176.0,7407723.0,540.550617694
189157.0,7407820.0,539.697104829
189102.0,7407903.0,538.478370493
189025.0,7407960.0,537.82841311
188932.0,7407997.0,537.553725919
188839.0,7408034.0,536.626980489
188746.0,7408071.0,535.877827691
188653.0,7408108.0,534.973220806
188560.0,7408145.0,534.191642115
188481.0,7408205.0,533.364220986
188411.0,7408275.0,532.48772795
188378.0,7408369.0,531.690998387
188345.0,7408464.0,531.099047
188312.0,7408558.0,530.495258612
188280.0,7408652.0,529.641179648
188247.0,7408747.0,529.06641365
